NURA_ID,Canonical SMILES,AGO_PR,ANT_PR,BIN_PR,AGO_PXR,ANT_PXR,BIN_PXR,AGO_RXR,ANT_RXR,BIN_RXR,AGO_GR,ANT_GR,BIN_GR,AGO_AR,ANT_AR,BIN_AR,AGO_ERA,ANT_ERA,BIN_ERA,AGO_ERB,ANT_ERB,BIN_ERB,AGO_FXR,ANT_FXR,BIN_FXR,AGO_PPARD,ANT_PPARD,BIN_PPARD,AGO_PPARG,ANT_PPARG,BIN_PPARG,AGO_PPARA,ANT_PPARA,BIN_PPARA,SOURCES
NURA_00001,BrC#N,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00002,BrC(Br)Br,w.act.,inact.,inc.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00003,BrC(C#N)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00004,BrC(C(=O)NC(=O)N)C(C)C,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00005,BrC(C(=O)O)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00006,BrC(C(Br)(Br)Br)Br,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00007,BrC(C(Br)Br)Br,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00008,BrC(CBr)COC(=O)C=C,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00009,BrC([N+](=O)[O-])Br,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00010,BrC1(COCOC1)[N+](=O)[O-],inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,w.act.,w.act.,inact.,inact.,inact.,inact.,w.act.,inc.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00011,BrC1CCC(Br)C(Br)CCC(C(CCC1Br)Br)Br,inact.,act.,inc.,w.act.,n.a.,w.act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00012,BrC1COC(C1)(Cn1cncn1)c1ccc(cc1Cl)Cl,inact.,w.act.,inc.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,w.act.,inc.,inact.,n.a.,inact.,inact.,w.act.,inc.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00013,BrC=C1Oc2ccc(cc2c2c1c1C(=CC(Nc1cc2)(C)C)C)F,act.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00014,BrC=CC12CCC(CC1=CCC1C2CCC2(C1CCC2O)C)O,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,act.,act.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00015,BrC=Cc1cc(O)cc2c1oc(n2)c1ccc(cc1)O,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00016,BrC=Cc1cc(O)cc2c1oc(n2)c1ccc(cc1F)O,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,act.,n.a.,n.a.,act.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,NR-DBIND
NURA_00017,BrC=Cc1cn(C2CC(C(O2)CO)O)c(=O)[nH]c1=O,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00018,BrC=Cc1cn(c(=O)[nH]c1=O)C1OC(C(C1O)O)CO,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,inact.,inact.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00019,BrCBr,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00020,BrCC#N,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,n.a.,n.a.,Tox21
NURA_00021,BrCC(=O)Nc1ccc(cc1C(=O)c1ccccc1F)Cl,inact.,w.act.,inc.,w.act.,n.a.,w.act.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,inact.,inact.,inact.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tox21
NURA_00022,BrCC(=O)OCc1ccccc1,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,inact.,n.a.,inact.,inact.,inact.,n.a.,inact.,inact.,inact.,inact.,inact.,n.a.,inact.,n.a.,n.a.,n.a.,Tox21
